step	loss
0	9.005013565741141
1	8.898012817287402
2	7.973209244209186
3	6.577411482847265
4	5.244952733012957
5	4.226997638643585
6	3.15245688399157
7	2.634438298848343
8	1.4734667912987036
9	0.7289865035956236
